Brand,Model,VehicleType,BodyStyle,SizeClass,Economy,Luxury,Comfort,Performance,Practicality,Family,Commute,Confidence,Source,ProfileVersion,LastUpdatedUTC
Audi,Q7,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
Audi,Q8,CAR,SUV,LARGE,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Audi,RS,CAR,OTHER,UNKNOWN,LOW,HIGH,MEDIUM,HIGH,UNKNOWN,LOW,LOW,LOW,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Audi,RS Q8,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Audi,S Serisi,CAR,OTHER,UNKNOWN,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:02+00:00
Audi,SQ2,CAR,SUV,COMPACT,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:02+00:00
Audi,SQ5,CAR,SUV,MIDSIZE,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Audi,SQ8,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Audi,TT,CAR,COUPE,COMPACT,MEDIUM,HIGH,MEDIUM,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:50+00:00
BAIC,D20,CAR,HATCHBACK,COMPACT,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:52+00:00
Balıkçı,Teknesi,OTHER,OTHER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:50+00:00
Bashan,BS250S-11A,ATV_UTV,ATV_UTV,UNKNOWN,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:41+00:00
Bashan,BS300AU-7,ATV_UTV,ATV_UTV,UNKNOWN,UNKNOWN,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:22+00:00
Bentley,Bentayga,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Bentley,Continental,CAR,COUPE,LARGE,LOW,HIGH,HIGH,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Bentley,Flying Spur,CAR,SEDAN,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
BMW,1 Serisi,CAR,HATCHBACK,COMPACT,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:30+00:00
BMW,2 Serisi,CAR,COUPE,COMPACT,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:10+00:00
BMW,3 Serisi,CAR,SEDAN,COMPACT,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:30+00:00
BMW,4 Serisi,CAR,COUPE,COMPACT,MEDIUM,HIGH,MEDIUM,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
BMW,5 Serisi,CAR,SEDAN,LARGE,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
BMW,6 Serisi,CAR,COUPE,LARGE,LOW,HIGH,HIGH,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:23+00:00
BMW,7 Serisi,CAR,SEDAN,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
BMW,8 Serisi,CAR,COUPE,LARGE,LOW,HIGH,HIGH,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:33+00:00
BMW,C 400 X,SCOOTER,SCOOTER,UNKNOWN,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
BMW,C 600 Sport,SCOOTER,SCOOTER,UNKNOWN,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
BMW,C400 GT,SCOOTER,SCOOTER,UNKNOWN,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
BMW,CE 04,SCOOTER,SCOOTER,UNKNOWN,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:23+00:00
BMW,Diğer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:32+00:00
BMW,F 700 GS,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
BMW,F 800 GS,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
BMW,F 800 R,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:32+00:00
BMW,F 850 GS,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
BMW,F 900 XR,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
BMW,G 310 GS,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:41+00:00
BMW,G 310 R,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:22+00:00
BMW,i Serisi,CAR,OTHER,UNKNOWN,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,LOW,HIGH,LOW,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
BMW,iX,CAR,SUV,LARGE,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
BMW,M Serisi,CAR,OTHER,UNKNOWN,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,MEDIUM,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:53+00:00
BMW,R 1200 GS,MOTORCYCLE,MOTORCYCLE,LARGE,LOW,MEDIUM,HIGH,HIGH,MEDIUM,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:14+00:00
BMW,R 1200 GS Adventure,MOTORCYCLE,MOTORCYCLE,UNKNOWN,LOW,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:04+00:00
BMW,R 1300 GS,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:33+00:00
BMW,R 18,MOTORCYCLE,MOTORCYCLE,UNKNOWN,LOW,HIGH,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:33+00:00
BMW,R Nine T Scrambler,MOTORCYCLE,MOTORCYCLE,MIDSIZE,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:14+00:00
BMW,S 1000 RR,MOTORCYCLE,MOTORCYCLE,UNKNOWN,LOW,MEDIUM,LOW,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:53+00:00
BMW,S 1000 XR,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:04+00:00
BMW,X1,CAR,SUV,COMPACT,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:00+00:00
BMW,X2,CAR,CROSSOVER,COMPACT,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:14+00:00
BMW,X3,CAR,SUV,MIDSIZE,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:12+00:00
BMW,X4,CAR,SUV,MIDSIZE,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:33+00:00
BMW,X5,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
BMW,X6,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
BMW,X7,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
BMW,XM,CAR,SUV,LARGE,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
BMW,Z Serisi,CAR,CONVERTIBLE,COMPACT,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:12+00:00
Cadillac,Escalade,CAR,SUV,LARGE,LOW,HIGH,HIGH,MEDIUM,HIGH,HIGH,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Can-Am,Maverick X3,ATV_UTV,ATV_UTV,UNKNOWN,LOW,LOW,LOW,HIGH,MEDIUM,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Can-Am,Max DPS 650,ATV_UTV,ATV_UTV,UNKNOWN,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,LOW,MEDIUM,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:22+00:00
Can-Am,Outlander,ATV_UTV,ATV_UTV,UNKNOWN,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:23+00:00
Can-Am,Outlander Max 1000 Ltd,ATV_UTV,ATV_UTV,UNKNOWN,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Can-Am,Renegade1000,ATV_UTV,ATV_UTV,UNKNOWN,LOW,LOW,LOW,HIGH,MEDIUM,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
CFMOTO,Cforce 1000 Touring,ATV_UTV,ATV_UTV,UNKNOWN,LOW,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:04+00:00
Chevrolet,Camaro,CAR,COUPE,MIDSIZE,LOW,LOW,MEDIUM,HIGH,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Chevrolet,Caprice,CAR,SEDAN,LARGE,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Chevrolet,Corvette,CAR,COUPE,LARGE,LOW,MEDIUM,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:02+00:00
Chevrolet,Cruze,CAR,SEDAN,COMPACT,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:21+00:00
Chevrolet,Lacetti,CAR,SEDAN,COMPACT,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:01+00:00
Chevrolet,Silverado,PICKUP,PICKUP,LARGE,LOW,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Chrysler,300 C,CAR,SEDAN,LARGE,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:23+00:00
Citroen,Berlingo,VAN,VAN,COMPACT,HIGH,LOW,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:12+00:00
Citroen,C1,CAR,HATCHBACK,MICRO,HIGH,LOW,LOW,LOW,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:21+00:00
Citroen,C2,CAR,HATCHBACK,SMALL,HIGH,LOW,MEDIUM,MEDIUM,LOW,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:11+00:00
Citroen,C3,CAR,HATCHBACK,SMALL,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:19:50+00:00
Citroen,C3 AirCross,CAR,CROSSOVER,SMALL,HIGH,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:04+00:00
Citroen,C4,CAR,HATCHBACK,COMPACT,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:41+00:00
Citroen,C4 Cactus,CAR,CROSSOVER,COMPACT,HIGH,LOW,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:50+00:00
Citroen,C4 Grand Picasso,CAR,MPV,MIDSIZE,MEDIUM,LOW,HIGH,LOW,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:23+00:00
Citroen,C5,CAR,SEDAN,MIDSIZE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-05T06:11:44+00:00
Citroen,C5 AirCross,CAR,SUV,COMPACT,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
Citroen,Dispatch,VAN,VAN,LARGE,MEDIUM,LOW,MEDIUM,LOW,HIGH,HIGH,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:10+00:00
Citroen,Jumper,VAN,VAN,LARGE,MEDIUM,LOW,MEDIUM,LOW,HIGH,MEDIUM,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:41+00:00
Citroen,Nemo,VAN,VAN,SMALL,HIGH,LOW,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:41+00:00
Dacia,Duster,CAR,SUV,COMPACT,HIGH,LOW,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
Daihatsu,Bego,CAR,SUV,COMPACT,HIGH,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:50+00:00
Daihatsu,Boon,CAR,HATCHBACK,SMALL,HIGH,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:30+00:00
Daihatsu,Hi-Jet,VAN,VAN,SMALL,HIGH,LOW,LOW,LOW,HIGH,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:52+00:00
Daihatsu,Mira,CAR,HATCHBACK,MICRO,HIGH,LOW,LOW,LOW,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:01+00:00
Daihatsu,Rocky,CAR,SUV,COMPACT,HIGH,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
Daihatsu,Storia,CAR,HATCHBACK,SMALL,HIGH,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:11+00:00
Daihatsu,Taft,CAR,SUV,SMALL,HIGH,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:53+00:00
Daihatsu,Yrv,CAR,MPV,SMALL,HIGH,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:01+00:00
DFSK,Mega Van,VAN,VAN,COMPACT,HIGH,LOW,LOW,LOW,HIGH,MEDIUM,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:31+00:00
Dodge,Nitro,CAR,SUV,MIDSIZE,LOW,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
Dodge,Ram,PICKUP,PICKUP,LARGE,LOW,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:14+00:00
Ducati,Diavel XDiavel S,MOTORCYCLE,MOTORCYCLE,UNKNOWN,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Ducati,Monster 937,MOTORCYCLE,MOTORCYCLE,UNKNOWN,LOW,MEDIUM,LOW,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:22:42+00:00
Ducati,Multistrada V4 S,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:43+00:00
Ducati,Scrambler Icon,MOTORCYCLE,MOTORCYCLE,UNKNOWN,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:41+00:00
Ducati,SuperSport,MOTORCYCLE,MOTORCYCLE,MIDSIZE,LOW,MEDIUM,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:14+00:00
Ferrari,Portofino,CAR,CONVERTIBLE,MIDSIZE,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Ferrari,Roma,CAR,COUPE,MIDSIZE,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:24:28+00:00
Fiat,500 Abarth,CAR,HATCHBACK,SMALL,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:02+00:00
Fiat,500 Ailesi,CAR,HATCHBACK,SMALL,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:52+00:00
Fiat,500 X,CAR,CROSSOVER,COMPACT,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:21:41+00:00
Fiat,500X,CAR,CROSSOVER,SMALL,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:23:24+00:00
Fiat,Doblo,VAN,VAN,COMPACT,MEDIUM,LOW,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,MODEL_PROFILE_AI,1.0,2026-09-04T21:20:30+00:00
