BusinessGranularity,VehicleType,Brand,Model,CategoryDetail,Year,CurrentListings,CurrentStartingPrice,CurrentMedianPrice,CurrentHighestPrice,GalleryListings,PrivateListings,DistinctCompanies,HistoricalBenchmarkSourceLiquidity,HistoricalBenchmarkSourcePricePressure,LiquidityHistoricalDistinctListings,PricePressureHistoricalDistinctListings,HistoricalDistinctListings,Exit60EligibleListings,PricePressureEligibleListings,MedianObservedDaysToExit,ObservedExitWithin60DaysRate,PriceReductionRate,LiquidityEvidenceConfidence,PricePressureEvidenceConfidence,EvidenceQuality,TurnoverPercentile,RawSupplyScarcityPercentile,CurrentMarketOpportunityPercentile,PricePressureAttractivenessPercentile,EvidencePriorityModifier,TurnoverSignal,CurrentSupplySignal,PricePressureSignal,OpportunityIndexInternal,ConfidenceAdjustedOpportunityIndex,OpportunityPercentile,AcquisitionSignal,AcquisitionReasons,ObservedExitDefinition
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Volvo,XC40,2.0 B4,2025,1,38000.0,38000.0,38000.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,44.0,44.0,44.0,30.0,36.0,38.0,0.5333333333333333,0.1388888888888889,MEDIUM,MEDIUM,MEDIUM,78.95,71.4,65.0,82.22,0.97,STRONG,MODERATE,STRONG,77.14,74.83,95.37,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Volvo,XC40,2.0 B4,2024,1,33900.0,33900.0,33900.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,44.0,44.0,44.0,30.0,36.0,38.0,0.5333333333333333,0.1388888888888889,MEDIUM,MEDIUM,MEDIUM,78.95,71.4,65.0,82.22,0.97,STRONG,MODERATE,STRONG,77.14,74.83,95.37,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Nissan,March,1.6,2014,1,7000.0,7000.0,7000.0,0,1,1,MODEL_YEAR,MODEL_YEAR,49.0,49.0,49.0,32.0,37.0,15.0,0.8125,0.24324324324324326,MEDIUM,MEDIUM,MEDIUM,97.15,71.07,65.0,57.74,0.97,STRONG,MODERATE,MODERATE,78.9,76.53,95.11,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.5 Hybrid,2020,1,12500.0,12500.0,12500.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,117.0,117.0,117.0,59.0,75.0,15.0,0.711864406779661,0.21333333333333335,MEDIUM,MEDIUM,MEDIUM,90.36,71.07,65.0,68.08,0.97,STRONG,MODERATE,MODERATE,78.6,76.24,94.9,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.3,2019,1,9250.0,9250.0,9250.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,117.0,117.0,117.0,59.0,75.0,15.0,0.711864406779661,0.21333333333333335,MEDIUM,MEDIUM,MEDIUM,90.36,71.07,65.0,68.08,0.97,STRONG,MODERATE,MODERATE,78.6,76.24,94.9,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.3,2018,1,9900.0,9900.0,9900.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,117.0,117.0,117.0,59.0,75.0,15.0,0.711864406779661,0.21333333333333335,MEDIUM,MEDIUM,MEDIUM,90.36,71.07,65.0,68.08,0.97,STRONG,MODERATE,MODERATE,78.6,76.24,94.9,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Axio,1.3,2016,1,9500.0,9500.0,9500.0,0,1,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,117.0,117.0,117.0,59.0,75.0,15.0,0.711864406779661,0.21333333333333335,MEDIUM,MEDIUM,MEDIUM,90.36,71.07,65.0,68.08,0.97,STRONG,MODERATE,MODERATE,78.6,76.24,94.9,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLS,350 D,2018,3,48000.0,50000.0,75000.0,1,2,2,MODEL_ALL_YEARS,MODEL_ALL_YEARS,75.0,75.0,75.0,49.0,59.0,36.0,0.5714285714285714,0.06779661016949153,MEDIUM,MEDIUM,MEDIUM,86.74,21.91,21.91,94.57,0.97,STRONG,WEAK,STRONG,76.12,73.84,94.74,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Suzuki,Swift,1.4 Sport,2019,2,13900.0,13925.0,13950.0,2,0,2,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,71.0,71.0,71.0,36.0,46.0,16.0,0.7777777777777778,0.17391304347826086,MEDIUM,MEDIUM,MEDIUM,95.11,34.06,34.06,80.57,0.97,STRONG,WEAK,STRONG,78.54,76.18,94.7,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mercedes-Benz,C Serisi,C 200 d BlueTEC,2016,1,16500.0,16500.0,16500.0,1,0,1,MODEL_YEAR,MODEL_YEAR,74.0,74.0,74.0,44.0,56.0,22.0,0.75,0.23214285714285715,MEDIUM,MEDIUM,MEDIUM,93.73,71.07,65.0,61.0,0.97,STRONG,MODERATE,MODERATE,78.17,75.82,94.47,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mercedes-Benz,C Serisi,C 63 AMG,2010,1,29900.0,29900.0,29900.0,1,0,1,MODEL_YEAR,MODEL_YEAR,50.0,50.0,50.0,31.0,38.0,17.0,0.6451612903225806,0.18421052631578946,MEDIUM,MEDIUM,MEDIUM,82.75,71.07,65.0,77.26,0.97,STRONG,MODERATE,STRONG,77.55,75.22,93.99,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Aqua,1.5 Hybrit,2023,3,14850.0,16500.0,16500.0,3,0,2,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,41.0,41.0,41.0,32.0,37.0,10.0,0.71875,0.10810810810810811,MEDIUM,MEDIUM,MEDIUM,90.86,21.69,21.69,91.63,0.97,STRONG,WEAK,STRONG,77.26,74.94,93.56,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,BMW,2 Serisi,218i,2018,2,12000.0,13500.0,15000.0,0,2,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,65.0,65.0,65.0,41.0,40.0,11.0,0.8048780487804879,0.2,MEDIUM,MEDIUM,MEDIUM,96.89,34.06,34.06,72.33,0.97,STRONG,WEAK,MODERATE,76.96,74.65,92.84,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Suzuki,Solio,1.2,2025,1,19800.0,19800.0,19800.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,78.0,78.0,78.0,46.0,62.0,23.0,0.6304347826086957,0.1774193548387097,MEDIUM,MEDIUM,MEDIUM,78.62,71.07,65.0,79.21,0.97,STRONG,MODERATE,STRONG,76.07,73.79,92.24,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Suzuki,Solio,1.2,2013,1,7900.0,7900.0,7900.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,78.0,78.0,78.0,46.0,62.0,23.0,0.6304347826086957,0.1774193548387097,MEDIUM,MEDIUM,MEDIUM,78.62,71.07,65.0,79.21,0.97,STRONG,MODERATE,STRONG,76.07,73.79,92.24,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mitsubishi,Outlander,2.4,2003,1,5500.0,5500.0,5500.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,80.0,80.0,80.0,38.0,45.0,27.0,0.5263157894736842,0.17777777777777778,MEDIUM,MEDIUM,MEDIUM,77.78,71.4,65.0,68.64,0.97,STRONG,MODERATE,MODERATE,72.48,70.31,92.11,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,BMW,2 Serisi,218i Gran Coupe,2020,1,20500.0,20500.0,20500.0,0,1,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,186.0,186.0,186.0,108.0,126.0,20.0,0.6018518518518519,0.15079365079365079,HIGH,HIGH,HIGH,74.43,71.07,65.0,85.41,1.0,MODERATE,MODERATE,STRONG,75.84,75.84,91.89,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,BMW,2 Serisi,225xe,2019,1,17000.0,17000.0,17000.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,186.0,186.0,186.0,108.0,126.0,20.0,0.6018518518518519,0.15079365079365079,HIGH,HIGH,HIGH,74.43,71.07,65.0,85.41,1.0,MODERATE,MODERATE,STRONG,75.84,75.84,91.89,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,BMW,2 Serisi,220i,2018,1,16990.0,16990.0,16990.0,0,1,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,186.0,186.0,186.0,108.0,126.0,20.0,0.6018518518518519,0.15079365079365079,HIGH,HIGH,HIGH,74.43,71.07,65.0,85.41,1.0,MODERATE,MODERATE,STRONG,75.84,75.84,91.89,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,BMW,2 Serisi,220d,2017,1,15500.0,15500.0,15500.0,1,0,1,MODEL_ALL_YEARS,MODEL_ALL_YEARS,186.0,186.0,186.0,108.0,126.0,20.0,0.6018518518518519,0.15079365079365079,HIGH,HIGH,HIGH,74.43,71.07,65.0,85.41,1.0,MODERATE,MODERATE,STRONG,75.84,75.84,91.89,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.2 Skyactiv-D,2017,1,17000.0,17000.0,17000.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,182.0,182.0,182.0,116.0,176.0,24.0,0.5,0.11931818181818182,HIGH,HIGH,HIGH,68.37,71.4,65.0,83.84,1.0,MODERATE,MODERATE,STRONG,72.34,72.34,91.76,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.2 Skyactiv-D,2016,1,16000.0,16000.0,16000.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,182.0,182.0,182.0,116.0,176.0,24.0,0.5,0.11931818181818182,HIGH,HIGH,HIGH,68.37,71.4,65.0,83.84,1.0,MODERATE,MODERATE,STRONG,72.34,72.34,91.76,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.2 Skyactiv-D,2015,1,15900.0,15900.0,15900.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,182.0,182.0,182.0,116.0,176.0,24.0,0.5,0.11931818181818182,HIGH,HIGH,HIGH,68.37,71.4,65.0,83.84,1.0,MODERATE,MODERATE,STRONG,72.34,72.34,91.76,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.2 Skyactiv-D,2014,1,14900.0,14900.0,14900.0,0,1,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,182.0,182.0,182.0,116.0,176.0,24.0,0.5,0.11931818181818182,HIGH,HIGH,HIGH,68.37,71.4,65.0,83.84,1.0,MODERATE,MODERATE,STRONG,72.34,72.34,91.76,VERY_STRONG,RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLC,220 d Off Road,2023,2,55500.0,55500.0,55500.0,0,2,1,MODEL_YEAR,MODEL_YEAR,53.0,53.0,53.0,31.0,47.0,34.0,0.5161290322580645,0.0851063829787234,MEDIUM,MEDIUM,MEDIUM,75.54,34.59,34.59,91.61,0.97,STRONG,WEAK,STRONG,72.17,70.0,91.28,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mercedes-Benz,GLC,300,2023,2,40900.0,43700.0,46500.0,2,0,2,MODEL_YEAR,MODEL_YEAR,53.0,53.0,53.0,31.0,47.0,34.0,0.5161290322580645,0.0851063829787234,MEDIUM,MEDIUM,MEDIUM,75.54,34.59,34.59,91.61,0.97,STRONG,WEAK,STRONG,72.17,70.0,91.28,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Vitz,1.3,2010,2,6000.0,6250.0,6500.0,2,0,2,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,77.0,77.0,77.0,47.0,64.0,13.0,0.723404255319149,0.203125,MEDIUM,MEDIUM,MEDIUM,91.31,34.06,34.06,70.44,0.97,STRONG,WEAK,MODERATE,73.6,71.39,90.49,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Toyota,Vitz,1.3,2000,1,2950.0,2950.0,2950.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_ALL_YEARS,386.0,386.0,386.0,241.0,305.0,17.0,0.6763485477178424,0.24918032786885247,HIGH,HIGH,HIGH,86.9,71.07,65.0,56.63,1.0,STRONG,MODERATE,MODERATE,73.44,73.44,90.36,VERY_STRONG,STRONG_OBSERVED_TURNOVER,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mazda,3,2.0,2024,3,21000.0,22500.0,25500.0,2,1,2,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,46.0,46.0,46.0,34.0,42.0,18.0,0.7352941176470589,0.19047619047619047,MEDIUM,MEDIUM,MEDIUM,92.69,21.69,21.69,75.46,0.97,STRONG,WEAK,STRONG,73.32,71.12,90.08,VERY_STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_HIGH_CURRENT_SUPPLY|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.5 Skyactiv-G,2021,1,24990.0,24990.0,24990.0,1,0,1,MODEL_YEAR,CATEGORY_ALL_YEARS,117.0,11.0,117.0,64.0,10.0,24.0,0.734375,0.0,MEDIUM,LOW,LOW,98.25,71.4,65.0,98.47,0.93,STRONG,MODERATE,STRONG,91.67,85.25,100.0,STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Mitsubishi,Colt,1.3,2005,1,3500.0,3500.0,3500.0,0,1,1,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,23.0,23.0,23.0,12.0,16.0,8.0,0.9166666666666666,0.0,LOW,LOW,LOW,99.46,71.07,65.0,98.99,0.93,STRONG,MODERATE,STRONG,92.43,85.96,100.0,STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,Otomobil,Honda,Fit,1.3,2001,1,3250.0,3250.0,3250.0,0,1,1,CATEGORY_NEAR_YEAR,CATEGORY_NEAR_YEAR,18.0,18.0,18.0,12.0,14.0,7.0,0.9166666666666666,0.07142857142857142,LOW,LOW,LOW,99.46,71.07,65.0,95.67,0.93,STRONG,MODERATE,STRONG,91.43,85.03,99.96,STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CATEGORY_YEAR,"Arazi, SUV, Pick-up",Mazda,CX-5,2.0 Skyactiv-G,2025,1,26900.0,26900.0,26900.0,1,0,1,CATEGORY_ALL_YEARS,CATEGORY_NEAR_YEAR,45.0,10.0,45.0,28.0,10.0,33.0,0.7142857142857143,0.0,LOW,LOW,LOW,97.66,71.4,65.0,98.47,0.93,STRONG,MODERATE,STRONG,91.37,84.97,99.9,STRONG,STRONG_OBSERVED_TURNOVER|RELATIVELY_LOW_ASKING_PRICE_PRESSURE,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
